Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
Daybreakers,6.5,Peter Spierig,Ethan Hawke,Willem Dafoe,"Action, Fantasy, Horror",Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the Antichrist? The Devil's own son?
Case 39,6.2,Renée Zellweger,Ian McShane,Jodelle Ferland,"Horror, Mystery, Thriller","In the year 2019, a plague has transformed almost every human into vampires. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vamps on a way to save humankind."
6 Souls,6.1,Björn Stein,Julianne Moore,Jonathan Rhys Meyers,"Horror, Mystery, Thriller","A social worker fights to save a girl from her abusive parents, only to discover that the situation is more dangerous than she ever expected."
Hannibal Rising,6.2,Gaspard Ulliel,Rhys Ifans,Li Gong,"Crime, Drama, Horror",A female forensic psychiatrist discovers that all of one of her patient's multiple personalities are murder victims. She will have to find out what's happening before her time is finished.
A Nightmare on Elm Street 2: Freddy's Revenge,5.4,Robert Englund,Mark Patton,Kim Myers,"Horror, Thriller","After the death of his parents during World War II, young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death."
Selfie from Hell,3.2,Alyson Walker,Tony Giroux,Meelah Adams,"Horror, Mystery","A teenage boy is haunted in his dreams by deceased child murderer Freddy Krueger, who is out to possess him in order to continue his reign of terror in the real world."
The Toxic Avenger,6.2,Lloyd Kaufman,Andree Maranda,Mitch Cohen,"Action, Comedy, Horror","After her cousin comes to visit and falls ill, a woman starts to receive strange cell phone messages."
The Monster Squad,7.1,Andre Gower,Robby Kiger,Stephen Macht,"Action, Comedy, Fantasy",Tromaville has a monstrous new hero. The Toxic Avenger is born when meek mop boy Melvin falls into a vat of toxic waste. Now evildoers will have a lot to lose.
Sleepwalkers,5.2,Brian Krause,Mädchen Amick,Alice Krige,Horror,A young group of monster fanatics attempt to save their hometown from Count Dracula and his monsters.
The Wicker Man,3.7,Nicolas Cage,Ellen Burstyn,Leelee Sobieski,"Horror, Mystery, Thriller",A mother-and-son team of strange supernatural creatures move to a small town to seek out a young virgin to feed on.
The Human Centipede II (Full Sequence),3.8,Laurence R. Harvey,Ashlynn Yennie,Maddi Black,Horror,"A sheriff investigating the disappearance of a young girl from a small island discovers there's a larger mystery to solve among the island's secretive, neo-pagan community."
Room 104,6.1,Michael Chandler,Melonie Diaz,Clark Duke,"Drama, Horror, Thriller","Inspired by the fictional Dr. Heiter, disturbed loner Martin dreams of creating a 12-person centipede and sets out to realize his sick fantasy."
Sharknado,3.3,Ian Ziering,Tara Reid,John Heard,"Action, Adventure, Comedy","Set in a single room of an average American hotel, telling a different story of the assorted guests who pass through."
Cujo,6,Dee Wallace,Daniel Hugh Kelly,Danny Pintauro,"Horror, Thriller","When a freak hurricane swamps Los Angeles, nature's deadliest killer rules sea, land, and air as thousands of sharks terrorize the waterlogged populace."
Troll,4.4,Michael Moriarty,Shelley Hack,Noah Hathaway,"Comedy, Fantasy, Horror","Cujo, a friendly St. Bernard, contracts rabies and conducts a reign of terror on a small American town."
The Blob,6.4,Shawnee Smith,Kevin Dillon,Donovan Leitch Jr.,"Horror, Sci-Fi, Thriller",A wicked troll king in search of a mystical ring that will return him to his human form invades a San Francisco apartment complex where a powerful witch lives.
"I, Frankenstein",5.1,Aaron Eckhart,Bill Nighy,Miranda Otto,"Action, Fantasy, Horror","Remake of the 1958 sci-fi horror classic about a deadly blob from another planet which consumes everything in its path. Teenagers attempt without success to warn the townspeople, who refuse to take them seriously."
Stonehearst Asylum,6.8,Kate Beckinsale,Jim Sturgess,David Thewlis,"Drama, Horror, Mystery","Frankenstein's creature finds himself caught in an all-out, centuries old war between two immortal clans."
Devilman: Crybaby,7.7,Cherami Leigh,Kyle McCarley,Cindy Robinson,"Animation, Action, Horror","An Oxford graduate takes up a job in a mental asylum, only to discover that the ""revolutionary"" new treatments are inhumane and that there is more going on than meets the eye."
The Uninvited,6.4,Thomas Guard,Emily Browning,Arielle Kebbel,"Drama, Horror, Mystery","Demons invade humanity after being frozen in ice for millions of years. Akira, a timid boy, is tasked by his friend Ryo to merge with one of these demons in order to be able to fight back against them for the sake of humanity."
Lore,6.9,Colm Feore,Adam Goldberg,Robert Patrick,"Documentary, Horror","Anna returns home after a stint in a mental hospital, but her recovery is jeopardized by her cruel stepmother and ghastly visions of her dead mother."
The Exorcism of Emily Rose,6.7,Laura Linney,Tom Wilkinson,Shohreh Aghdashloo,"Drama, History, Horror",Our collective nightmare mythologies are rooted in real-life horror stories.
All the Boys Love Mandy Lane,5.6,Amber Heard,Anson Mount,Whitney Able,Horror,A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.
Cabin Fever,3.7,Gage Golightly,Matthew Daddario,Samuel Davis,Horror,"A group of high-schoolers invite Mandy Lane, an innocent, desirable girl, to a weekend party on a secluded ranch. While the festivities rage on, the number of revelers begins to drop mysteriously."
Whiteout,5.5,Kate Beckinsale,Gabriel Macht,Tom Skerritt,"Action, Crime, Horror","While visiting their getaway cabin, five friends succumb to a flesh-eating disease."
The Wicker Man,7.6,Edward Woodward,Christopher Lee,Diane Cilento,"Horror, Mystery, Thriller","U.S. Marshal Carrie Stetko tracks a killer in Antarctica, as the sun is about to set for six months."
Halloween H20: 20 Years Later,5.7,Jamie Lee Curtis,Josh Hartnett,Adam Arkin,"Horror, Thriller",A police sergeant is sent to a Scottish island village in search of a missing girl whom the townsfolk claim never existed. Stranger still are the rites that take place there.
Red Riding Hood,5.4,Amanda Seyfried,Lukas Haas,Gary Oldman,"Fantasy, Horror, Mystery","Laurie Strode, now the dean of a Northern California private school with an assumed name, must battle the Shape one last time and now the life of her own son hangs in the balance."
The Final Destination,5.2,Nick Zano,Krista Allen,Andrew Fiscella,"Fantasy, Horror, Mystery","Set in a medieval village that is haunted by a werewolf, a young girl falls for an orphaned woodcutter, much to her family's displeasure."
Gonjiam: Haunted Asylum,6.2,Seung-Wook Lee,Ye-Won Mun,Ji-Hyun Park,Horror,"After a young man's premonition of a deadly race-car crash helps saves the lives of his peers, Death sets out to collect those who evaded their end."
Yoga Hosers,4.3,Lily-Rose Depp,Harley Quinn Smith,Johnny Depp,"Comedy, Fantasy, Horror",The crew of a horror web series travels to an abandoned asylum for a live broadcast. It soon encounters much more than expected as it moves deeper inside the nightmarish old building.
The Howling,6.6,Dee Wallace,Patrick Macnee,Dennis Dugan,Horror,Two teenage yoga enthusiasts team up with a legendary man-hunter to battle with an ancient evil presence that is threatening their major party plans.
The Gate,6,Stephen Dorff,Christa Denton,Louis Tripp,"Fantasy, Horror","Kids, left home alone, accidentally unleash a horde of malevolent demons from a mysterious hole in their suburban backyard."
Maniac,6.1,Elijah Wood,Nora Arnezeder,America Olivo,"Horror, Thriller","As he helps a young artist with her upcoming exhibition, the owner of a mannequin shop's deadly, suppressed desires come to the surface."
Lowlife,6.5,Nicki Micheaux,Ricardo Adam Zarate,Jon Oswald,"Comedy, Crime, Drama","The sordid lives of an addict, an ex-con, and a luchador collide when an organ harvesting caper goes very, very wrong."
Mother's Day,6.3,Rebecca De Mornay,Jaime King,Shawn Ashmore,"Drama, Horror, Thriller",The sadistic members of a villainous family return to their childhood home to terrorize the new home owners and their guests.
Flatliners,6.6,Kiefer Sutherland,Kevin Bacon,Julia Roberts,"Drama, Horror, Sci-Fi","Five medical students experiment with ""near death"" experiences, until the dark consequences of past tragedies begin to jeopardize their lives."
Nosferatu,8,Max Schreck,Alexander Granach,Gustav von Wangenheim,"Fantasy, Horror",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
Night of the Living Dead,7.9,Duane Jones,Judith O'Dea,Karl Hardman,Horror,"There is panic throughout the nation as the dead suddenly come back to life. The film follows a group of characters who barricade themselves in an old farmhouse in an attempt to remain safe from these bloodthirsty, flesh-eating monsters."
True Horror,6.4,James Tarpey,Adam Leese,Sammy Williams,"Documentary, Horror","Drawing on the testimonies from people at the centre of each story and other witnesses, this docudrama presents true encounters with the paranormal."
Dreamcatcher,5.5,Morgan Freeman,Thomas Jane,Jason Lee,"Drama, Horror, Sci-Fi",Friends on a camping trip discover that the town they're vacationing in is being plagued in an unusual fashion by parasitic aliens from outer space.
Resident Evil: Retribution,5.4,Milla Jovovich,Sienna Guillory,Michelle Rodriguez,"Action, Horror, Sci-Fi",Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.
Society,6.5,Billy Warlock,Devin DeVasquez,Evan Richards,"Comedy, Horror",An ordinary teenage boy discovers his family is part of a gruesome orgy cult for the social elite.
The Return of the Living Dead,7.4,Clu Gulager,James Karen,Don Calfa,"Comedy, Horror","When two bumbling employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to rise again as zombies."
The Wolfman,5.8,Benicio Del Toro,Anthony Hopkins,Emily Blunt,"Drama, Fantasy, Horror","Upon his return to his ancestral homeland, an American man is bitten, and subsequently cursed by, a werewolf."
A Nightmare on Elm Street 4: The Dream Master,5.7,Robert Englund,Rodney Eastman,John Beckman,"Horror, Thriller","Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may be able to defeat him for good."
The Unborn,4.8,Odette Annable,Gary Oldman,Cam Gigandet,"Drama, Horror, Mystery",A young woman fights the spirit that is slowly taking possession of her.
Jacob's Ladder,7.5,Tim Robbins,Elizabeth Peña,Danny Aiello,"Drama, Horror, Mystery","Mourning his dead child, a haunted Vietnam War veteran attempts to uncover his past while suffering from a severe case of dissociation. To do so, he must decipher reality and life from his own dreams, delusions, and perceptions of death."
Justice League Dark,7.1,Rosario Dawson,Jerry O'Connell,Jeremy Davies,"Animation, Action, Fantasy","Beings with supernatural powers join together to fight against supernatural villains. This team of supernatural beings include John Constantine, Zatanna and Jason Blood also known as the demon Etrigan."
Tremors 4: The Legend Begins,5.3,Michael Gross,Sara Botsford,Billy Drago,"Action, Comedy, Horror",A prequel to
I Remember You,6.2,Jóhannes Haukur Jóhannesson,Elma Stefania Agustsdottir,Thor Kristjansson,"Drama, Horror, Mystery","(1990), this movie tells us about how the town of Perfection, Nevada became founded and how they defended it against the Graboids with the help of Burt Gummer's ancestor, Hiram."
Saw II,6.6,Donnie Wahlberg,Beverley Mitchell,Franky G,"Horror, Mystery",A story about a young man and woman who move into a small abandoned town in Iceland to renovate an old house. Little do they know the town has a dark history.
Double Date,6.2,Danny Morgan,Georgia Groome,Michael Socha,"Comedy, Horror",A detective and his team must rescue 8 people trapped in a factory by the twisted serial killer known as Jigsaw.
Dracula 2000,4.9,Gerard Butler,Justine Waddell,Jonny Lee Miller,"Action, Fantasy, Horror","Meet innocent Jim, terrified of girls, and on a reluctant quest to prove his manhood the night before he turns 30. He and his cocky friend Alex think they've hit the jackpot when they meet the beautiful siblings Kitty and Lulu, who seem up for anything on a wild party-fuelled night. But little do they know that the femmes fatales want to make Jim lose much more than just his virginity - Getting ..."
