Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
Legion,6.0,Paul Bettany,Dennis Quaid,Charles S. Dutton,"Action, Fantasy, Horror","A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals."
The Purge: Election Year,8.0,Frank Grillo,Elizabeth Mitchell,Mykelti Williamson,"Action, Horror, Sci-Fi","When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope."
Us,5.3,Lupita Nyong'o,Elisabeth Moss,Winston Duke,"Horror, Thriller","Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge."
Tales from the Crypt,7.6,Roy Brocksmith,Miguel Ferrer,Cam Clarke,"Comedy, Crime, Fantasy","Plot unknown. Described as a ""social horror-thriller""."
Hostile,6.2,Brittany Ashworth,Grégory Fitoussi,Javier Botet,"Drama, Horror","Tales of horror based on the gruesome E.C. comic books of the 1950s presented by the legendary Crypt Keeper, a sinister ghoul obsessed with gallows humor and horrific puns."
28 Days Later...,4.9,Cillian Murphy,Naomie Harris,Christopher Eccleston,"Drama, Horror, Sci-Fi","Juliette, a lone survivor of an apocalyptic era, fights to survive against hunger, thirst, a broken leg and strange, disturbing creatures that only come out at nighttime."
Predator 2,7.3,Danny Glover,Gary Busey,Kevin Peter Hall,"Action, Horror, Sci-Fi","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary."
Amityville: The Awakening,5.3,Jennifer Jason Leigh,Bella Thorne,Mckenna Grace,"Horror, Thriller","Amidst a territorial gang war in 1997, a sophisticated alien hunter stalks the citizens of Los Angeles and the only man between him and his prey is veteran L.A.P.D. officer, Lieutenant Mike Harrigan."
Dawn of the Dead,6.3,Sarah Polley,Ving Rhames,Mekhi Phifer,"Action, Horror, Thriller","A desperate single mother moves with her three children into the notorious, supposedly haunted, real-life Amityville house to try and use its dark powers to cure her comatose son. Things go horribly wrong."
Habit,7.2,Chris 'C.T.' Tamburello,Johnny Hickey,Brittany Baldi,"Horror, Thriller","A nurse, a policeman, a young married couple, a salesman, and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall."
The Green Inferno,5.1,Lorenza Izzo,Ariel Levy,Aaron Burns,"Adventure, Horror, Thriller","A group of young drugged up party goers loose their minds and souls when they attend the rave party ""Habit"" being held in an abandoned lunatic asylum."
I Spit on Your Grave,7.4,Sarah Butler,Jeff Branson,Andrew Howard,"Horror, Thriller","A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone, and that no good deed goes unpunished."
The Descent,5.0,Shauna Macdonald,Natalie Mendoza,Alex Reid,"Adventure, Horror, Thriller","A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead."
Wish Upon,7.8,Joey King,Ryan Phillippe,Ki Hong Lee,"Fantasy, Horror, Thriller","A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators."
Pet Sematary,5.2,Dennis Widmyer,Jason Clarke,John Lithgow,Horror,A teenage girl discovers a box that carries magic powers and a deadly price for using them.
Poltergeist,5.9,JoBeth Williams,Heather O'Rourke,Craig T. Nelson,"Horror, Thriller","Louis Creed, his wife Rachel and their two children Gage and Ellie move to a rural home where they are welcomed and enlightened about the eerie 'Pet Sematary' located near their home. After..."
Leatherface,7.1,Julien Maury,Stephen Dorff,Lili Taylor,"Crime, Horror, Thriller",»
Halloween,7.1,Donald Pleasence,Jamie Lee Curtis,Tony Moran,"Horror, Thriller",A family's home is haunted by a host of ghosts.
Ghost Rider,6.4,Nicolas Cage,Eva Mendes,Sam Elliott,"Action, Fantasy, Horror","A teenage Leatherface escapes from a mental hospital with three other inmates, kidnapping a young nurse and taking her on a road trip from hell, while being pursued by a lawman out for revenge."
